Label,Count,Wing_Area
MP_MalKopp1.1_B3_1_M__07.tif,94,B2
MP_MalKopp1.1_B3_1_M__07.tif,97,B3
MP_MalKopp1.1_B3_1_M__07.tif,76,C1
MP_MalKopp1.1_B3_1_M__07.tif,87,C2
MP_MalKopp1.1_B3_1_M__07.tif,117,C3
MP_MalKopp1.1_B3_1_M__07.tif,95,E1
MP_MalKopp1.1_B3_1_M__07.tif,98,E2
MP_MalKopp1.1_B3_1_M__07.tif,104,F1
MP_MalKopp1.1_B3_1_M__07.tif,98,F2
MP_MalKopp1.1_B3_1_M__07.tif,125,F3
MP_MalKopp1.1_B3_1_M__07.tif,140,G1
MP_MalKopp1.1_B3_1_M__07.tif,94,G2
MP_MalKopp1.1_B3_1_M__07.tif,119,G3
MP_MalKopp1.1_B3_1_M__08.tif,88,A1
MP_MalKopp1.1_B3_1_M__08.tif,86,A2
MP_MalKopp1.1_B3_1_M__08.tif,104,B1
MP_MalKopp1.1_B3_1_M__08.tif,99,B2
MP_MalKopp1.1_B3_1_M__08.tif,113,B3
MP_MalKopp1.1_B3_1_M__08.tif,79,C1
MP_MalKopp1.1_B3_1_M__08.tif,100,C2
MP_MalKopp1.1_B3_1_M__08.tif,126,C3
MP_MalKopp1.1_B3_1_M__08.tif,102,E1
MP_MalKopp1.1_B3_1_M__08.tif,93,E2
MP_MalKopp1.1_B3_1_M__08.tif,107,F1
MP_MalKopp1.1_B3_1_M__08.tif,115,F2
MP_MalKopp1.1_B3_1_M__08.tif,122,F3
MP_MalKopp1.1_B3_1_M__08.tif,156,G1
MP_MalKopp1.1_B3_1_M__08.tif,79,G2
MP_MalKopp1.1_B3_1_M__08.tif,127,G3
MP_MalKopp1.1_B3_1_M__09.tif,80,A1
MP_MalKopp1.1_B3_1_M__09.tif,83,A2
MP_MalKopp1.1_B3_1_M__09.tif,98,B1
MP_MalKopp1.1_B3_1_M__09.tif,98,B2
MP_MalKopp1.1_B3_1_M__09.tif,111,B3
MP_MalKopp1.1_B3_1_M__09.tif,77,C1
MP_MalKopp1.1_B3_1_M__09.tif,102,C2
MP_MalKopp1.1_B3_1_M__09.tif,134,C3
MP_MalKopp1.1_B3_1_M__09.tif,96,E1
MP_MalKopp1.1_B3_1_M__09.tif,101,E2
MP_MalKopp1.1_B3_1_M__09.tif,100,F1
MP_MalKopp1.1_B3_1_M__09.tif,102,F2
MP_MalKopp1.1_B3_1_M__09.tif,123,F3
MP_MalKopp1.1_B3_1_M__09.tif,138,G1
MP_MalKopp1.1_B3_1_M__09.tif,88,G2
