Label,Count,Wing_Area
MP_BipKopp1.1_B3_1_F__12.tif,86,G2
MP_BipKopp1.1_B3_1_F__12.tif,88,G3
MP_BipKopp1.1_B3_1_F__13.tif,63,A1
MP_BipKopp1.1_B3_1_F__13.tif,72,A2
MP_BipKopp1.1_B3_1_F__13.tif,68,B1
MP_BipKopp1.1_B3_1_F__13.tif,71,B2
MP_BipKopp1.1_B3_1_F__13.tif,100,B3
MP_BipKopp1.1_B3_1_F__13.tif,74,C1
MP_BipKopp1.1_B3_1_F__13.tif,83,C2
MP_BipKopp1.1_B3_1_F__13.tif,102,C3
MP_BipKopp1.1_B3_1_F__13.tif,90,E1
MP_BipKopp1.1_B3_1_F__13.tif,81,E2
MP_BipKopp1.1_B3_1_F__13.tif,92,F1
MP_BipKopp1.1_B3_1_F__13.tif,102,F2
MP_BipKopp1.1_B3_1_F__13.tif,103,F3
MP_BipKopp1.1_B3_1_F__13.tif,126,G1
MP_BipKopp1.1_B3_1_F__13.tif,72,G2
MP_BipKopp1.1_B3_1_F__13.tif,101,G3
MP_BipKopp1.1_B3_1_F__14.tif,78,A1
MP_BipKopp1.1_B3_1_F__14.tif,72,A2
MP_BipKopp1.1_B3_1_F__14.tif,78,B1
MP_BipKopp1.1_B3_1_F__14.tif,82,B2
MP_BipKopp1.1_B3_1_F__14.tif,89,B3
MP_BipKopp1.1_B3_1_F__14.tif,79,C1
MP_BipKopp1.1_B3_1_F__14.tif,88,C2
MP_BipKopp1.1_B3_1_F__14.tif,92,C3
MP_BipKopp1.1_B3_1_F__14.tif,96,E1
MP_BipKopp1.1_B3_1_F__14.tif,99,E2
MP_BipKopp1.1_B3_1_F__14.tif,91,F1
MP_BipKopp1.1_B3_1_F__14.tif,91,F2
MP_BipKopp1.1_B3_1_F__14.tif,99,F3
MP_BipKopp1.1_B3_1_F__14.tif,118,G1
MP_BipKopp1.1_B3_1_F__14.tif,85,G2
MP_BipKopp1.1_B3_1_F__14.tif,104,G3
MP_BipKopp1.1_B3_1_F__15.tif,68,A1
MP_BipKopp1.1_B3_1_F__15.tif,70,A2
MP_BipKopp1.1_B3_1_F__15.tif,90,B1
MP_BipKopp1.1_B3_1_F__15.tif,83,B2
MP_BipKopp1.1_B3_1_F__15.tif,103,B3
MP_BipKopp1.1_B3_1_F__15.tif,82,C1
MP_BipKopp1.1_B3_1_F__15.tif,96,C2
MP_BipKopp1.1_B3_1_F__15.tif,121,C3
MP_BipKopp1.1_B3_1_F__15.tif,102,E1
MP_BipKopp1.1_B3_1_F__15.tif,92,E2
MP_BipKopp1.1_B3_1_F__15.tif,100,F1
MP_BipKopp1.1_B3_1_F__15.tif,93,F2
MP_BipKopp1.1_B3_1_F__15.tif,104,F3
MP_BipKopp1.1_B3_1_F__15.tif,114,G1
MP_BipKopp1.1_B3_1_F__15.tif,82,G2
MP_BipKopp1.1_B3_1_F__15.tif,106,G3
MP_BipKopp1.1_B3_1_F__16.tif,80,A1
MP_BipKopp1.1_B3_1_F__16.tif,75,A2
MP_BipKopp1.1_B3_1_F__16.tif,76,B1
MP_BipKopp1.1_B3_1_F__16.tif,87,B2
MP_BipKopp1.1_B3_1_F__16.tif,93,B3
MP_BipKopp1.1_B3_1_F__16.tif,80,C1
MP_BipKopp1.1_B3_1_F__16.tif,91,C2
MP_BipKopp1.1_B3_1_F__16.tif,100,C3
MP_BipKopp1.1_B3_1_F__16.tif,97,E1
MP_BipKopp1.1_B3_1_F__16.tif,84,E2
MP_BipKopp1.1_B3_1_F__16.tif,95,F1
MP_BipKopp1.1_B3_1_F__16.tif,96,F2
MP_BipKopp1.1_B3_1_F__16.tif,117,F3
MP_BipKopp1.1_B3_1_F__16.tif,125,G1
MP_BipKopp1.1_B3_1_F__16.tif,82,G2
MP_BipKopp1.1_B3_1_F__16.tif,89,G3
MP_BipKopp1.1_B3_1_F__17.tif,86,A1
MP_BipKopp1.1_B3_1_F__17.tif,75,A2
MP_BipKopp1.1_B3_1_F__17.tif,75,B1
MP_BipKopp1.1_B3_1_F__17.tif,77,B2
MP_BipKopp1.1_B3_1_F__17.tif,107,B3
MP_BipKopp1.1_B3_1_F__17.tif,83,C1
MP_BipKopp1.1_B3_1_F__17.tif,88,C2
MP_BipKopp1.1_B3_1_F__17.tif,105,C3
MP_BipKopp1.1_B3_1_F__17.tif,72,E1
MP_BipKopp1.1_B3_1_F__17.tif,93,E2
MP_BipKopp1.1_B3_1_F__17.tif,102,F1
MP_BipKopp1.1_B3_1_F__17.tif,94,F2
MP_BipKopp1.1_B3_1_F__17.tif,109,F3
MP_BipKopp1.1_B3_1_F__17.tif,119,G1
MP_BipKopp1.1_B3_1_F__17.tif,87,G2
MP_BipKopp1.1_B3_1_F__17.tif,108,G3
MP_BipKopp1.1_B3_1_F__18.tif,73,A1
MP_BipKopp1.1_B3_1_F__18.tif,72,A2
