Label,Count,Wing_Area
MP_PanKopp1.1_B3_1_M__01.tif,95,C2
MP_PanKopp1.1_B3_1_M__01.tif,113,C3
MP_PanKopp1.1_B3_1_M__01.tif,106,E1
MP_PanKopp1.1_B3_1_M__01.tif,106,E2
MP_PanKopp1.1_B3_1_M__01.tif,104,F1
MP_PanKopp1.1_B3_1_M__01.tif,105,F2
MP_PanKopp1.1_B3_1_M__01.tif,116,F3
MP_PanKopp1.1_B3_1_M__01.tif,117,G1
MP_PanKopp1.1_B3_1_M__01.tif,78,G2
MP_PanKopp1.1_B3_1_M__01.tif,102,G3
MP_PanKopp1.1_B3_1_M__02.tif,72,A1
MP_PanKopp1.1_B3_1_M__02.tif,82,A2
MP_PanKopp1.1_B3_1_M__02.tif,90,B1
MP_PanKopp1.1_B3_1_M__02.tif,91,B2
MP_PanKopp1.1_B3_1_M__02.tif,92,B3
MP_PanKopp1.1_B3_1_M__02.tif,91,C1
MP_PanKopp1.1_B3_1_M__02.tif,102,C2
MP_PanKopp1.1_B3_1_M__02.tif,117,C3
MP_PanKopp1.1_B3_1_M__02.tif,99,E1
MP_PanKopp1.1_B3_1_M__02.tif,97,E2
MP_PanKopp1.1_B3_1_M__02.tif,101,F1
MP_PanKopp1.1_B3_1_M__02.tif,94,F2
MP_PanKopp1.1_B3_1_M__02.tif,107,F3
MP_PanKopp1.1_B3_1_M__02.tif,128,G1
MP_PanKopp1.1_B3_1_M__02.tif,103,G2
MP_PanKopp1.1_B3_1_M__02.tif,106,G3
MP_PanKopp1.1_B3_1_M__03.tif,67,A1
MP_PanKopp1.1_B3_1_M__03.tif,80,A2
MP_PanKopp1.1_B3_1_M__03.tif,90,B1
MP_PanKopp1.1_B3_1_M__03.tif,91,B2
MP_PanKopp1.1_B3_1_M__03.tif,107,B3
MP_PanKopp1.1_B3_1_M__03.tif,90,C1
MP_PanKopp1.1_B3_1_M__03.tif,93,C2
MP_PanKopp1.1_B3_1_M__03.tif,107,C3
MP_PanKopp1.1_B3_1_M__03.tif,95,E1
MP_PanKopp1.1_B3_1_M__03.tif,105,E2
MP_PanKopp1.1_B3_1_M__03.tif,107,F1
MP_PanKopp1.1_B3_1_M__03.tif,107,F2
MP_PanKopp1.1_B3_1_M__03.tif,126,F3
MP_PanKopp1.1_B3_1_M__03.tif,115,G1
MP_PanKopp1.1_B3_1_M__03.tif,98,G2
MP_PanKopp1.1_B3_1_M__03.tif,110,G3
MP_PanKopp1.1_B3_1_M__04.tif,67,A1
MP_PanKopp1.1_B3_1_M__04.tif,74,A2
MP_PanKopp1.1_B3_1_M__04.tif,91,B1
MP_PanKopp1.1_B3_1_M__04.tif,82,B2
MP_PanKopp1.1_B3_1_M__04.tif,100,B3
MP_PanKopp1.1_B3_1_M__04.tif,84,C1
MP_PanKopp1.1_B3_1_M__04.tif,95,C2
MP_PanKopp1.1_B3_1_M__04.tif,117,C3
MP_PanKopp1.1_B3_1_M__04.tif,98,E1
MP_PanKopp1.1_B3_1_M__04.tif,98,E2
MP_PanKopp1.1_B3_1_M__04.tif,93,F1
MP_PanKopp1.1_B3_1_M__04.tif,99,F2
MP_PanKopp1.1_B3_1_M__04.tif,126,F3
MP_PanKopp1.1_B3_1_M__04.tif,104,G1
MP_PanKopp1.1_B3_1_M__04.tif,87,G2
MP_PanKopp1.1_B3_1_M__04.tif,126,G3
MP_PanKopp1.1_B3_1_M__05.tif,76,A1
MP_PanKopp1.1_B3_1_M__05.tif,81,A2
MP_PanKopp1.1_B3_1_M__05.tif,90,B1
MP_PanKopp1.1_B3_1_M__05.tif,83,B2
MP_PanKopp1.1_B3_1_M__05.tif,96,B3
MP_PanKopp1.1_B3_1_M__05.tif,91,C1
MP_PanKopp1.1_B3_1_M__05.tif,91,C2
MP_PanKopp1.1_B3_1_M__05.tif,118,C3
MP_PanKopp1.1_B3_1_M__05.tif,106,E1
MP_PanKopp1.1_B3_1_M__05.tif,99,E2
MP_PanKopp1.1_B3_1_M__05.tif,101,F1
MP_PanKopp1.1_B3_1_M__05.tif,102,F2
MP_PanKopp1.1_B3_1_M__05.tif,104,F3
MP_PanKopp1.1_B3_1_M__05.tif,96,G1
MP_PanKopp1.1_B3_1_M__05.tif,78,G2
MP_PanKopp1.1_B3_1_M__05.tif,116,G3
MP_PanKopp1.1_B3_1_M__06.tif,79,A1
MP_PanKopp1.1_B3_1_M__06.tif,77,A2
MP_PanKopp1.1_B3_1_M__06.tif,98,B1
MP_PanKopp1.1_B3_1_M__06.tif,88,B2
MP_PanKopp1.1_B3_1_M__06.tif,98,B3
MP_PanKopp1.1_B3_1_M__06.tif,87,C1
MP_PanKopp1.1_B3_1_M__06.tif,96,C2
MP_PanKopp1.1_B3_1_M__06.tif,127,C3
MP_PanKopp1.1_B3_1_M__06.tif,105,E1
MP_PanKopp1.1_B3_1_M__06.tif,103,E2
MP_PanKopp1.1_B3_1_M__06.tif,101,F1
MP_PanKopp1.1_B3_1_M__06.tif,93,F2
MP_PanKopp1.1_B3_1_M__06.tif,117,F3
MP_PanKopp1.1_B3_1_M__06.tif,109,G1
MP_PanKopp1.1_B3_1_M__06.tif,91,G2
MP_PanKopp1.1_B3_1_M__06.tif,101,G3
